                          Simulation: CommonComponents                          


COMPONENTS
          ID #     Name              Formula
   1       155     Ethyl Acetate     C4H8O2       
   2       142     Methyl Acetate    C3H6O2       
   3       129     Ethylene Oxide    C2H4O        
   4       130     Acetic Acid       C2H4O2       
   5       140     Acetone           C3H6O        
   6       125     Acetonitrile      C2H3N        
   7       175     Aniline           C6H7N        
   8        40     Benzol            C6H6         
   9       112     Chloroform        CHCl3        
  10       222     Dichloromethane   CH2Cl2       
  11       162     Diethyl Ether     C4H10O       
  12       133     Dimethyl Ether    C2H6O        
  13       144     Dimethylformamid  C3H7NO       
  14         3     Ethane            C2H6         
  15       134     Ethanol           C2H6O        
  16        11     Heptane           C7H16        
  17        10     Hexane            C6H14        
  18         5     Isobutane         C4H10        
  19         7     Isopentane        C5H12        
  20         2     Methane           CH4          
  21       117     Methanol          CH4O         
  22         6     N-Butane          C4H10        
  23        13     N-Nonane          C9H20        
  24        12     N-Octane          C8H18        
  25         8     N-Pentane         C5H12        
  26         4     n-Propane         C3H8         
  27        46     Nitrogen          N2           
  28        47     Oxygen            O2           
  29        41     Toluene           C7H8         
  30        62     Water             H2O          
  31       281     Tetrahydrofuran   C4H8O        
  32       128     Acetaldehyde      C2H4O        
  33       135     1,2-Ethanediol    C2H6O2       
  34       163     Diethylene Glyco  C4H10O3      
  35        38     Hexahydrobenzene  C6H12        
  36       145     Isopropanol       C3H8O        


THERMODYNAMICS

 K-value model     :  NRTL
                      LLV Three Phase K-values
 Enthalpy model    :  Latent Heat
 Liquid density    :  Library  

 Std vapor rate reference temperature is 0 C.
 Atmospheric pressure is  101324.9766 Pa.


NRTL Parameters: Tij = Aij + Bij/T + Cij * Ln(T) + Dij * T (T Deg K)

  I   J      Bij      Bji   Alpha   Aij    Aji    Cij    Cji    Dij    Dji
  1   2    66.98   -75.33   0.303   0.00   0.00   0.00   0.00   0.00   0.00
  1   4   424.87  -219.88   0.314   0.00   0.00   0.00   0.00   0.00   0.00
  1   5   235.07  -153.48   0.291   0.00   0.00   0.00   0.00   0.00   0.00
  1   6    37.63   101.82   0.302   0.00   0.00   0.00   0.00   0.00   0.00
  1   8  -153.30   217.71   0.307   0.00   0.00   0.00   0.00   0.00   0.00
  1   9  -311.99   188.99   0.870   0.00   0.00   0.00   0.00   0.00   0.00
  1  10  -309.65   127.14   0.305   0.00   0.00   0.00   0.00   0.00   0.00
  1  11  -227.64   341.99   0.312   0.00   0.00   0.00   0.00   0.00   0.00
  1  15   154.21   162.35   0.299   0.00   0.00   0.00   0.00   0.00   0.00
  1  17   128.63   215.19   0.299   0.00   0.00   0.00   0.00   0.00   0.00
  1  21   204.01   171.81   0.298   0.00   0.00   0.00   0.00   0.00   0.00
  1  29    31.90    43.36   0.302   0.00   0.00   0.00   0.00   0.00   0.00
  1  30   470.86  1165.66   0.410   0.00   0.00   0.00   0.00   0.00   0.00
  1  35    74.18   272.55   0.297   0.00   0.00   0.00   0.00   0.00   0.00
  1  36    43.84   141.43   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  2   4   733.38  -398.46   0.303   0.00   0.00   0.00   0.00   0.00   0.00
  2   5  -119.65   181.18   0.306   0.00   0.00   0.00   0.00   0.00   0.00
  2   6   565.70  -365.32   0.217   0.00   0.00   0.00   0.00   0.00   0.00
  2   8   201.86   -91.31   0.307   0.00   0.00   0.00   0.00   0.00   0.00
  2   9  -243.26    89.51   0.651   0.00   0.00   0.00   0.00   0.00   0.00
  2  10  -244.03   101.81   0.304   0.00   0.00   0.00   0.00   0.00   0.00
  2  15   273.28   -71.50   0.308   0.00   0.00   0.00   0.00   0.00   0.00
  2  21   146.11   223.38   0.296   0.00   0.00   0.00   0.00   0.00   0.00
  2  30   442.40   860.26   0.383   0.00   0.00   0.00   0.00   0.00   0.00
  2  32  -174.03   170.89   0.261   0.00   0.00   0.00   0.00   0.00   0.00
  2  35   225.00   245.20   0.295   0.00   0.00   0.00   0.00   0.00   0.00
  2  36    49.43   249.61   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  3  30   252.56   171.30   0.339   0.00   0.00   0.00   0.00   0.00   0.00
